step,total_steps,loss,kl_mean,kl_only,ref_k3,entropy,avg_answer_len,n_rollouts,frac_capped,tokens_per_sec,eval_acc
72,240,0.069625,0.069625,0.070125,0.001464,0.572804,768.00,4,1.000,132.27,
73,240,0.044671,0.044671,0.045012,0.001163,0.399889,768.00,4,1.000,131.66,
74,240,0.055168,0.055168,0.055469,0.001766,0.389336,768.00,4,1.000,132.24,
75,240,0.036465,0.036465,0.036677,0.000776,0.251220,768.00,4,1.000,81.10,
76,240,0.060791,0.060791,0.061125,0.001623,0.415236,768.00,4,1.000,134.15,
77,240,0.043580,0.043580,0.043832,0.001156,0.310304,768.00,4,1.000,131.70,
78,240,0.074619,0.074619,0.075212,0.001769,0.682069,768.00,4,1.000,131.71,
79,240,0.059500,0.059500,0.059951,0.001330,0.517179,768.00,4,1.000,132.39,
80,240,0.049109,0.049109,0.049280,0.002504,0.296429,768.00,4,1.000,130.57,0.300000
81,240,0.042240,0.042240,0.042461,0.001214,0.282060,768.00,4,1.000,135.49,
82,240,0.049652,0.049652,0.049993,0.001533,0.417965,768.00,4,1.000,133.79,
83,240,0.056239,0.056239,0.056651,0.001375,0.480717,768.00,4,1.000,131.53,
84,240,0.053632,0.053632,0.053855,0.002755,0.360162,768.00,4,1.000,132.50,
85,240,0.037350,0.037350,0.037568,0.001266,0.281191,768.00,4,1.000,134.28,
86,240,0.056660,0.056660,0.056947,0.001831,0.378607,768.00,4,1.000,131.32,
87,240,0.063733,0.063733,0.064103,0.002839,0.511996,768.00,4,1.000,130.69,
88,240,0.060617,0.060617,0.060997,0.003119,0.535843,768.00,4,1.000,132.06,
89,240,0.066444,0.066444,0.066775,0.001801,0.421246,768.00,4,1.000,129.85,
90,240,0.053413,0.053413,0.053667,0.001179,0.312955,768.00,4,1.000,130.29,
91,240,0.052563,0.052563,0.052848,0.001461,0.357614,767.75,4,0.750,132.84,
92,240,0.060383,0.060383,0.060714,0.002404,0.451610,768.00,4,1.000,133.43,
93,240,0.044393,0.044393,0.044629,0.001872,0.329798,768.00,4,1.000,132.99,
94,240,0.074144,0.074144,0.074518,0.003637,0.555396,768.00,4,1.000,136.81,
95,240,0.067069,0.067069,0.067540,0.002367,0.589447,768.00,4,1.000,137.91,
96,240,0.054112,0.054112,0.054349,0.001856,0.329115,768.00,4,1.000,138.72,
97,240,0.055553,0.055553,0.055868,0.001623,0.395845,768.00,4,1.000,138.99,
98,240,0.057612,0.057612,0.057899,0.002442,0.409538,768.00,4,1.000,139.66,
99,240,0.069400,0.069400,0.069663,0.002926,0.408986,768.00,4,1.000,137.49,
100,240,0.056553,0.056553,0.056828,0.002800,0.414525,768.00,4,1.000,137.76,
101,240,0.053083,0.053083,0.053301,0.002048,0.320475,768.00,4,1.000,138.49,
102,240,0.051073,0.051073,0.051284,0.002633,0.342532,768.00,4,1.000,138.15,
103,240,0.063173,0.063173,0.063526,0.001955,0.450628,768.00,4,1.000,138.26,
104,240,0.073802,0.073802,0.074281,0.003153,0.636431,768.00,4,1.000,136.95,
105,240,0.070174,0.070174,0.070451,0.002589,0.406349,768.00,4,1.000,134.41,
106,240,0.063515,0.063515,0.063781,0.003028,0.417477,768.00,4,1.000,134.31,
107,240,0.053223,0.053223,0.053435,0.002468,0.335543,768.00,4,1.000,136.22,
108,240,0.060130,0.060130,0.060419,0.003216,0.450026,768.00,4,1.000,134.73,
109,240,0.052733,0.052733,0.052993,0.001969,0.358184,768.00,4,1.000,134.82,
110,240,0.056430,0.056430,0.056685,0.002237,0.366917,768.00,4,1.000,135.58,
111,240,0.051649,0.051649,0.051861,0.002858,0.355220,768.00,4,1.000,135.52,
112,240,0.053070,0.053070,0.053263,0.001980,0.291748,768.00,4,1.000,135.71,
113,240,0.046761,0.046761,0.046967,0.002309,0.321556,768.00,4,1.000,139.73,
114,240,0.050850,0.050850,0.051125,0.002969,0.423487,768.00,4,1.000,138.54,
115,240,0.063974,0.063974,0.064453,0.002327,0.596039,768.00,4,1.000,138.17,
116,240,0.050494,0.050494,0.050674,0.002886,0.324907,768.00,4,1.000,138.26,
117,240,0.056682,0.056682,0.056820,0.003065,0.291210,768.00,4,1.000,137.26,
118,240,0.048229,0.048229,0.048500,0.003004,0.420801,768.00,4,1.000,136.84,
119,240,0.052873,0.052873,0.053092,0.001493,0.293256,768.00,4,1.000,133.69,
120,240,0.052240,0.052240,0.052354,0.002758,0.252620,768.00,4,1.000,132.27,0.200000
121,240,0.052940,0.052940,0.053088,0.001460,0.221132,768.00,4,1.000,137.83,
122,240,0.057213,0.057213,0.057343,0.003646,0.312112,768.00,4,1.000,134.66,
123,240,0.054260,0.054260,0.054455,0.001352,0.263053,768.00,4,1.000,133.31,
124,240,0.055347,0.055347,0.055628,0.003313,0.446094,768.00,4,1.000,135.48,
