epoch,total_steps,train_loss,val_loss
1,50,0.325916,0.440787
1,100,0.300061,0.411280
1,150,0.329947,0.394787
1,200,0.380119,0.381086
1,250,0.223539,0.370675
1,300,0.304979,0.365284
1,350,0.179287,0.357313
1,400,0.397199,0.353854
1,450,0.474064,0.349754
1,500,0.412741,0.343508
1,550,0.250030,0.340281
1,600,0.755690,0.337572
1,650,0.286131,0.334628
1,700,0.358844,0.332058
1,750,0.266969,0.330457
1,800,0.200305,0.328777
1,850,0.201391,0.326950
1,900,0.199115,0.324745
1,950,0.268087,0.322341
1,1000,0.455308,0.322031
1,1050,0.287775,0.319874
1,1100,0.614995,0.318217
1,1150,0.375684,0.316052
1,1200,0.187197,0.315765
1,1250,0.312789,0.314619
1,1300,0.437703,0.314013
1,1350,0.248867,0.312607
1,1400,0.227058,0.312459
1,1450,0.667627,0.313356
1,1500,0.308288,0.310490
1,1550,0.457153,0.309195
1,1600,0.115410,0.308791
1,1650,0.176228,0.309614
1,1700,0.248266,0.308119
1,1750,0.510197,0.307536
1,1800,0.136922,0.308397
1,1850,0.411158,0.306298
1,1900,0.188239,0.306049
1,1950,0.405446,0.306036
1,2000,0.406439,0.305491
1,2050,0.550942,0.304510
1,2100,0.479390,0.305261
1,2150,0.335685,0.305432
1,2200,0.386117,0.305325
1,2250,0.321988,0.305173
1,2300,0.206671,0.303825
1,2350,0.387330,0.305490
1,2400,0.523283,0.304846
1,2450,0.251711,0.305092
1,2500,0.386678,0.304851
1,2550,0.637964,0.304225
1,2600,0.705415,0.305251
1,2650,0.462943,0.305457
1,2700,0.619365,0.304689
1,2750,0.282258,0.304120
1,2800,0.339759,0.304541
1,2848,0.375894,0.306974
2,2850,0.644573,0.306081
2,2900,0.235061,0.305410
2,2950,0.126722,0.304377
2,3000,0.145356,0.304441
2,3050,0.151653,0.304055
2,3100,0.095147,0.303195
2,3150,0.198579,0.302945
2,3200,0.154268,0.302257
2,3250,0.213164,0.302089
2,3300,0.161564,0.301090
2,3350,0.204739,0.301217
2,3400,0.191148,0.299711
2,3450,0.139586,0.300350
2,3500,0.189342,0.299587
2,3550,0.257040,0.298598
2,3600,0.251472,0.298470
2,3650,0.238685,0.297903
2,3700,0.206088,0.299183
2,3750,0.309672,0.297685
2,3800,0.277863,0.297886
2,3850,0.267834,0.297781
2,3900,0.378619,0.297606
2,3950,0.337850,0.296946
2,4000,0.278848,0.296343
2,4050,0.293306,0.296492
2,4100,0.264850,0.296397
2,4150,0.457074,0.296900
2,4200,0.239596,0.296331
2,4250,0.305448,0.296411
2,4300,0.472179,0.297486
2,4350,0.213527,0.296503
2,4400,0.180008,0.295636
2,4450,0.479199,0.296171
2,4500,0.390189,0.296233
2,4550,0.184493,0.296135
2,4600,0.235959,0.296454
2,4650,0.166870,0.296351
2,4700,0.243002,0.295336
2,4750,0.536688,0.296008
2,4800,0.265599,0.296092
2,4850,0.478118,0.296061
2,4900,0.337873,0.295809
2,4950,0.104253,0.296372
2,5000,0.322552,0.296325
2,5050,0.248178,0.296274
2,5100,0.466699,0.296984
2,5150,0.620253,0.295610
2,5200,0.388545,0.296991
2,5250,0.520594,0.297194
2,5300,0.454621,0.297113
2,5350,0.562006,0.297205
2,5400,0.370538,0.297131
2,5450,0.306212,0.298033
2,5500,0.322160,0.298337
2,5550,0.703223,0.298164
2,5600,0.621230,0.297226
2,5650,0.209663,0.297338
2,5696,0.332960,0.300003
3,5700,0.342429,0.297394
3,5750,0.200651,0.298301
3,5800,0.339777,0.298579
3,5850,0.236453,0.298351
3,5900,0.257695,0.298447
3,5950,0.121566,0.297844
3,6000,0.186085,0.296938
3,6050,0.119902,0.297237
3,6100,0.304970,0.297538
3,6150,0.323040,0.296781
3,6200,0.185206,0.296168
3,6250,0.246519,0.295253
3,6300,0.186194,0.296010
3,6350,0.305028,0.295229
3,6400,0.108692,0.294607
3,6450,0.270811,0.294618
3,6500,0.252078,0.294267
3,6550,0.199145,0.295046
3,6600,0.329184,0.294005
3,6650,0.209374,0.293875
3,6700,0.329926,0.293951
3,6750,0.317888,0.293951
3,6800,0.476004,0.293445
3,6850,0.585279,0.292621
3,6900,0.422826,0.293065
3,6950,0.148872,0.293380
3,7000,0.315463,0.293064
3,7050,0.107361,0.292858
3,7100,0.173978,0.293432
3,7150,0.212473,0.293835
3,7200,0.166286,0.293596
3,7250,0.660400,0.292472
3,7300,0.225141,0.292923
3,7350,0.418848,0.292841
3,7400,0.428812,0.292922
3,7450,0.268601,0.292961
3,7500,0.542810,0.293043
3,7550,0.478276,0.292521
3,7600,0.637130,0.292879
3,7650,0.405422,0.293005
3,7700,0.621614,0.293275
3,7750,0.130049,0.292974
3,7800,0.362363,0.293383
3,7850,0.477984,0.293591
3,7900,0.544705,0.293447
3,7950,0.237853,0.294446
3,8000,0.719964,0.293090
3,8050,0.239325,0.293918
3,8100,0.375784,0.294129
3,8150,0.376561,0.294410
3,8200,0.381262,0.294747
3,8250,0.390229,0.294621
3,8300,0.517507,0.295405
3,8350,0.550985,0.295699
3,8400,0.265331,0.295540
3,8450,0.768307,0.294787
3,8500,0.254955,0.294781
3,8544,0.321179,0.296811
