step,total_steps,loss,kl_loss,policy_ratio,reward_avg,correctness_avg,format_bonus_avg,length_penalty_avg,tokens_per_sec,avg_response_len,adv_avg,adv_std,entropy_avg,eval_acc
43,500,0.132285,0.132285,1.000000,0.525000,0.500000,0.025000,0.000000,58.670824,405.500000,0.000000,0.999822,0.216789,
44,500,0.170028,0.170028,1.000000,0.393750,0.375000,0.018750,0.000000,58.307078,478.750000,-0.000000,0.999816,0.195147,
45,500,0.000000,0.000000,,1.050000,1.000000,0.050000,0.000000,58.513801,266.375000,0.000000,0.000000,0.160062,
46,500,0.000000,0.000000,,1.050000,1.000000,0.050000,0.000000,58.888333,265.500000,0.000000,0.000000,0.255525,
47,500,0.213399,0.213399,1.000000,0.656250,0.625000,0.031250,0.000000,59.033368,466.875000,-0.000000,0.999816,0.241333,
48,500,0.000000,0.000000,,1.050000,1.000000,0.050000,0.000000,58.035058,367.125000,0.000000,0.000000,0.183967,
49,500,0.198516,0.198516,1.000000,0.787500,0.750000,0.037500,0.000000,58.873174,519.375000,-0.000000,0.999794,0.216764,
50,500,0.200339,0.200339,1.000000,0.525000,0.500000,0.025000,0.000000,58.298221,258.375000,0.000000,0.999822,0.287884,0.440000
51,500,0.000000,0.000000,,1.050000,1.000000,0.050000,0.000000,59.371283,324.625000,0.000000,0.000000,0.184266,
52,500,0.033344,0.033344,1.000000,0.131250,0.125000,0.006250,0.000000,58.909653,549.500000,0.000000,0.999731,0.294772,
53,500,0.000000,0.000000,,1.050000,1.000000,0.050000,0.000000,59.542656,243.250000,0.000000,0.000000,0.198163,
54,500,0.000000,0.000000,,1.050000,1.000000,0.050000,0.000000,59.436288,342.625000,0.000000,0.000000,0.129805,
55,500,0.199896,0.199896,1.000000,0.262500,0.250000,0.012500,0.000000,58.988134,375.125000,0.000000,0.999794,0.276392,
56,500,0.000000,0.000000,,0.000000,0.000000,0.000000,0.000000,58.843601,246.250000,0.000000,0.000000,0.299342,
57,500,0.160774,0.160774,1.000000,0.262500,0.250000,0.012500,0.000000,59.140777,292.125000,0.000000,0.999794,0.397461,
58,500,0.158843,0.158843,1.000000,0.656250,0.625000,0.031250,0.000000,58.800428,335.500000,-0.000000,0.999816,0.332756,
59,500,0.149032,0.149032,1.000000,0.262500,0.250000,0.012500,0.000000,58.710367,385.375000,0.000000,0.999794,0.198284,
60,500,0.071777,0.071778,1.000000,0.225000,0.250000,0.012500,0.037500,58.462428,669.250000,0.000000,0.999805,0.276701,
61,500,0.152059,0.152059,1.000000,-0.012500,0.000000,0.000000,0.012500,58.703114,554.000000,0.000000,0.997180,0.206156,
62,500,0.201573,0.201574,1.000000,0.918750,0.875000,0.043750,0.000000,58.964734,422.250000,0.000000,0.999731,0.230943,
63,500,0.075182,0.075182,1.000000,0.918750,0.875000,0.043750,0.000000,58.397683,478.375000,0.000000,0.999731,0.156325,
64,500,0.148875,0.148875,1.000000,0.918750,0.875000,0.043750,0.000000,58.222724,263.875000,0.000000,0.999731,0.209972,
65,500,0.182384,0.182383,1.000000,0.656250,0.625000,0.031250,0.000000,58.284769,269.000000,-0.000000,0.999816,0.294024,
66,500,0.107476,0.107476,1.000000,0.393750,0.375000,0.018750,0.000000,58.859633,479.875000,-0.000000,0.999816,0.339123,
67,500,0.060501,0.060501,1.000000,-0.037500,0.000000,0.000000,0.037500,58.508017,621.250000,0.000000,0.998071,0.316060,
68,500,0.256557,0.256557,1.000000,0.918750,0.875000,0.043750,0.000000,58.334048,588.750000,0.000000,0.999731,0.165926,
69,500,0.062147,0.062147,1.000000,0.775000,0.750000,0.037500,0.012500,58.260024,490.375000,0.000000,0.999804,0.247227,
70,500,0.119499,0.119499,1.000000,0.918750,0.875000,0.043750,0.000000,57.579913,145.125000,0.000000,0.999731,0.221954,
71,500,0.187558,0.187558,1.000000,0.918750,0.875000,0.043750,0.000000,58.001671,283.500000,0.000000,0.999731,0.215002,
72,500,0.000000,0.000000,,1.050000,1.000000,0.050000,0.000000,58.644872,390.250000,0.000000,0.000000,0.134236,
73,500,0.000000,0.000000,,1.050000,1.000000,0.050000,0.000000,59.004301,514.500000,0.000000,0.000000,0.123154,
74,500,0.000000,0.000000,,1.050000,1.000000,0.050000,0.000000,59.263544,292.750000,0.000000,0.000000,0.167182,
75,500,0.000699,0.000699,1.000000,0.118750,0.125000,0.006250,0.012500,58.164568,615.500000,0.000000,0.999735,0.328974,
76,500,0.000000,0.000000,,1.050000,1.000000,0.050000,0.000000,59.467403,427.125000,0.000000,0.000000,0.143373,
77,500,0.212757,0.212757,1.000000,0.656250,0.625000,0.031250,0.000000,59.282258,483.000000,-0.000000,0.999816,0.182909,
78,500,0.000000,0.000000,,1.050000,1.000000,0.050000,0.000000,58.753434,267.125000,0.000000,0.000000,0.243683,
79,500,0.000000,0.000000,,1.050000,1.000000,0.050000,0.000000,59.335173,494.250000,0.000000,0.000000,0.176277,
80,500,0.082639,0.082639,1.000000,0.118750,0.125000,0.006250,0.012500,59.114974,540.375000,0.000000,0.999735,0.430323,
81,500,0.204639,0.204639,1.000000,0.787500,0.750000,0.037500,0.000000,58.605926,433.375000,-0.000000,0.999794,0.297705,
82,500,0.000000,0.000000,,1.050000,1.000000,0.050000,0.000000,58.132299,226.500000,0.000000,0.000000,0.275797,
83,500,0.157694,0.157694,1.000000,0.918750,0.875000,0.043750,0.000000,59.011910,200.750000,0.000000,0.999731,0.226828,
84,500,0.000000,0.000000,,1.050000,1.000000,0.050000,0.000000,58.382300,577.125000,0.000000,0.000000,0.194169,
85,500,0.000000,0.000000,,1.050000,1.000000,0.050000,0.000000,58.924068,322.375000,0.000000,0.000000,0.200485,
86,500,0.000000,0.000000,,1.050000,1.000000,0.050000,0.000000,59.025588,208.875000,0.000000,0.000000,0.302935,
87,500,0.158561,0.158561,1.000000,0.918750,0.875000,0.043750,0.000000,58.516632,323.750000,0.000000,0.999731,0.215510,
88,500,0.179710,0.179710,1.000000,0.656250,0.625000,0.031250,0.000000,58.832553,478.500000,-0.000000,0.999816,0.196173,
89,500,0.021999,0.021999,1.000000,0.237500,0.250000,0.012500,0.025000,58.815868,620.875000,0.000000,0.999801,0.329488,
90,500,0.089017,0.089017,1.000000,0.512500,0.500000,0.025000,0.012500,57.986054,610.375000,-0.000000,0.999826,0.387120,
91,500,0.077421,0.077421,1.000000,0.525000,0.500000,0.025000,0.000000,57.983946,378.250000,0.000000,0.999822,0.401588,
92,500,0.000000,0.000000,,1.050000,1.000000,0.050000,0.000000,58.066548,264.125000,0.000000,0.000000,0.235270,
93,500,0.112287,0.112287,1.000000,0.787500,0.750000,0.037500,0.000000,58.298077,573.000000,-0.000000,0.999794,0.216118,
94,500,0.185782,0.185782,1.000000,0.918750,0.875000,0.043750,0.000000,58.320995,350.375000,0.000000,0.999731,0.214390,
95,500,0.000000,0.000000,,0.000000,0.000000,0.000000,0.000000,58.213304,237.375000,0.000000,0.000000,0.204128,
96,500,0.000000,0.000000,,1.050000,1.000000,0.050000,0.000000,58.368651,231.125000,0.000000,0.000000,0.237632,
97,500,0.115339,0.115338,1.000000,0.787500,0.750000,0.037500,0.000000,58.093392,321.750000,-0.000000,0.999794,0.338412,
98,500,0.169643,0.169644,1.000000,0.918750,0.875000,0.043750,0.000000,58.118165,366.000000,0.000000,0.999731,0.182669,
99,500,0.000000,0.000000,,1.050000,1.000000,0.050000,0.000000,57.599757,210.625000,0.000000,0.000000,0.218657,
100,500,0.000000,0.000000,,1.050000,1.000000,0.050000,0.000000,57.983988,369.125000,0.000000,0.000000,0.188616,0.400000
101,500,0.152038,0.152038,1.000000,0.262500,0.250000,0.012500,0.000000,58.247285,293.500000,0.000000,0.999794,0.243091,
102,500,0.170310,0.170310,1.000000,0.918750,0.875000,0.043750,0.000000,58.551465,465.250000,0.000000,0.999731,0.182452,
103,500,0.136601,0.136601,1.000000,0.381250,0.375000,0.018750,0.012500,58.362635,588.250000,-0.000000,0.999810,0.375339,
104,500,0.000000,0.000000,,1.050000,1.000000,0.050000,0.000000,57.431003,170.750000,0.000000,0.000000,0.237790,
105,500,0.102040,0.102040,1.000000,0.918750,0.875000,0.043750,0.000000,57.715812,365.375000,0.000000,0.999731,0.316033,
106,500,0.000000,0.000000,,1.050000,1.000000,0.050000,0.000000,58.128741,244.875000,0.000000,0.000000,0.268053,
107,500,0.212080,0.212080,1.000000,0.656250,0.625000,0.031250,0.000000,58.243549,206.000000,-0.000000,0.999816,0.349405,
108,500,0.000000,0.000000,,0.000000,0.000000,0.000000,0.000000,57.644147,256.875000,0.000000,0.000000,0.360365,
109,500,0.000000,0.000000,,1.050000,1.000000,0.050000,0.000000,57.896608,395.500000,0.000000,0.000000,0.210863,
110,500,0.035917,0.035917,1.000000,0.118750,0.125000,0.006250,0.012500,58.196347,501.000000,0.000000,0.999736,0.526399,
111,500,0.000000,0.000000,,1.050000,1.000000,0.050000,0.000000,57.652383,291.625000,0.000000,0.000000,0.196231,
