epoch,total_steps,train_loss,val_loss
1,50,0.870963,0.665953
1,100,0.352085,0.627461
1,150,0.445253,0.601106
1,200,0.547572,0.578413
1,250,0.256173,0.563475
1,300,0.428467,0.555976
1,350,0.553989,0.547991
1,400,0.354622,0.541658
1,450,0.396871,0.535171
1,500,0.370074,0.529272
1,550,0.349908,0.525300
1,600,0.584179,0.524722
1,650,0.176746,0.521543
1,700,0.284592,0.518100
1,750,0.278181,0.515282
1,800,0.285611,0.513152
1,850,0.252388,0.512453
1,900,0.404839,0.510009
1,950,0.310071,0.506318
1,1000,0.301402,0.505126
1,1050,0.183122,0.504634
1,1100,0.563415,0.503041
1,1150,0.442244,0.500265
1,1200,0.320837,0.500551
1,1250,0.516840,0.499841
1,1300,0.268627,0.498874
1,1350,0.480961,0.499173
1,1400,0.318827,0.496068
1,1450,0.504842,0.496925
1,1500,0.285845,0.495323
1,1550,0.198585,0.492425
1,1600,0.318432,0.493540
1,1650,0.513345,0.490382
1,1700,0.490552,0.491593
1,1750,0.377188,0.490846
1,1800,0.280715,0.490316
1,1850,0.225850,0.488813
1,1900,0.453673,0.489492
1,1950,0.256669,0.487179
1,2000,0.468750,0.486217
1,2050,0.484736,0.485909
1,2100,0.573738,0.485543
1,2150,0.567227,0.484878
1,2200,0.425596,0.483784
1,2250,0.315502,0.485551
1,2300,0.311821,0.484632
1,2350,0.453687,0.483096
1,2400,0.351962,0.482891
1,2450,0.379457,0.482946
1,2500,0.642384,0.483101
1,2550,0.442047,0.482914
1,2600,0.372834,0.483208
1,2650,0.348513,0.482863
1,2700,0.349529,0.482782
1,2750,0.633719,0.482283
1,2800,0.553028,0.483371
1,2850,0.400786,0.480262
1,2900,0.526911,0.481117
1,2950,0.391846,0.481463
1,3000,0.334632,0.480739
1,3050,0.456931,0.482960
1,3100,0.879556,0.483595
1,3150,0.555884,0.481513
1,3200,0.521745,0.479753
1,3250,0.413087,0.484539
1,3300,0.428046,0.480881
1,3350,0.446793,0.481577
1,3400,0.402229,0.481550
1,3450,0.596810,0.481866
1,3500,0.387766,0.481264
1,3550,0.543455,0.480448
1,3600,0.598365,0.480813
1,3650,0.500718,0.482875
1,3700,0.505501,0.481754
1,3750,0.410092,0.481165
1,3800,0.610522,0.483403
1,3850,0.412077,0.483094
1,3900,0.350802,0.480899
1,3950,0.595089,0.482749
1,4000,0.767118,0.481018
1,4050,0.673757,0.483994
1,4100,0.691283,0.482153
1,4150,0.411992,0.483456
1,4200,0.731782,0.485969
1,4250,0.493745,0.480229
1,4300,0.717000,0.488776
1,4350,0.989550,0.482925
1,4400,0.548125,0.484746
1,4450,0.389280,0.486300
1,4500,0.706016,0.487670
1,4550,0.766306,0.488498
1,4600,0.703761,0.486613
1,4650,0.653258,0.486871
1,4700,0.760977,0.487743
